2021-01-24,+3,757,ÞÇ 1ì/ñ,0,758,ÞÇ 1ì/ñ
2021-01-25,-2,759,ÞÂ 2ì/ñ,-3,759,ÞÂ 2ì/ñ
2021-01-26,-7,758,ÞÂ 2ì/ñ,-7,758,ÞÂ 2ì/ñ
2021-01-27,-7,756,ÞÂ 2ì/ñ,-7,755,ÞÂ 2ì/ñ
2021-01-28,-7,751,Â 3ì/ñ,-7,749,Â 3ì/ñ
2021-01-29,-3,745,ÞÂ 1ì/ñ,-4,744,ÞÂ 1ì/ñ
2021-01-30,-3,746,Â 3ì/ñ,-2,746,Â 3ì/ñ
