2013-08-4,+26,742,ว 2์/๑,+18,742,ว 2์/๑
2013-08-5,+21,743,ัย 1์/๑,+23,743,ัย 1์/๑
2013-08-6,+28,742,ั 2์/๑,+21,743,ั 2์/๑
2013-08-7,+18,744,ั 2์/๑,+16,745,ั 2์/๑
2013-08-8,+20,744,ั 2์/๑,+18,745,ั 2์/๑
2013-08-9,+23,745,ั 2์/๑,+20,746,ั 2์/๑
2013-08-10,+26,745,ัย 2์/๑,+18,746,ัย 2์/๑
