2016-05-22,+20,747,ÞÇ 2ì/ñ,+16,748,ÞÇ 2ì/ñ
2016-05-23,+21,751,Ñ 2ì/ñ,+17,751,Ñ 2ì/ñ
2016-05-24,+25,749,ÞÂ 2ì/ñ,+22,749,ÞÂ 2ì/ñ
2016-05-25,+29,748,ÞÂ 2ì/ñ,+23,748,ÞÂ 2ì/ñ
2016-05-26,+30,749,ÞÂ 2ì/ñ,+21,749,ÞÂ 2ì/ñ
2016-05-27,+29,751,Ç 2ì/ñ,+21,751,Ç 2ì/ñ
2016-05-28,+30,751,Ç 2ì/ñ,+25,751,Ç 2ì/ñ
