2012-02-26,-9,745,Â 5ì/ñ,-10,745,Â 5ì/ñ
2012-02-27,-9,746,Â 4ì/ñ,-8,747,Â 4ì/ñ
2012-02-28,-3,749,Â 2ì/ñ,-3,749,Â 2ì/ñ
2012-02-29,-1,745,ÞÂ 2ì/ñ,-2,745,ÞÂ 2ì/ñ
2012-03-1,-3,744,ÞÂ 2ì/ñ,-3,743,ÞÂ 2ì/ñ
2012-03-2,-3,740,Â 2ì/ñ,-6,739,Â 2ì/ñ
2012-03-3,-4,736,Â 2ì/ñ,-6,737,Â 2ì/ñ
