2015-10-11,+1,748,ว 2์/๑,-1,749,ว 2์/๑
2015-10-12,+2,754,ว 4์/๑,+2,755,ว 4์/๑
2015-10-13,+3,758,ว 3์/๑,+3,758,ว 3์/๑
2015-10-14,+9,759,ว 3์/๑,+6,760,ว 3์/๑
2015-10-15,+6,758,ว 4์/๑,+5,757,ว 4์/๑
2015-10-16,+7,758,ัย 1์/๑,+5,759,ัย 1์/๑
2015-10-17,+10,755,ว 3์/๑,+7,753,ว 3์/๑
