2022-05-15,+16,740,Þว 2์/๑,+11,739,Þว 2์/๑
2022-05-16,+17,739,ว 2์/๑,+13,740,ว 2์/๑
2022-05-17,+14,740,ว 2์/๑,+11,740,ว 2์/๑
2022-05-18,+11,740,ว 2์/๑,+10,743,ว 2์/๑
2022-05-19,+12,745,ว 2์/๑,+7,746,ว 2์/๑
2022-05-20,+12,743,ั 1์/๑,+8,743,ั 1์/๑
2022-05-21,+10,743,ัว 4์/๑,+7,743,ัว 4์/๑
