2020-06-28,+22,743,ัว 3์/๑,+17,744,ัว 3์/๑
2020-06-29,+22,743,ัว 2์/๑,+16,743,ัว 2์/๑
2020-06-30,+18,746,ัว 2์/๑,+15,748,ัว 2์/๑
2020-07-1,+22,749,ัว 2์/๑,+19,749,ัว 2์/๑
2020-07-2,+26,747,ว 2์/๑,+18,749,ว 2์/๑
2020-07-3,+29,751,ว 2์/๑,+21,751,ว 2์/๑
2020-07-4,+32,750,ว 2์/๑,+23,749,ว 2์/๑
