2018-01-7,-6,752,Þว 2์/๑,-4,749,Þว 2์/๑
2018-01-8,-4,747,ว 2์/๑,-6,747,ว 2์/๑
2018-01-9,-5,746,ว 2์/๑,-7,747,ว 2์/๑
2018-01-10,-6,749,ว 2์/๑,-7,749,ว 2์/๑
2018-01-11,-4,752,ว 2์/๑,-6,754,ว 2์/๑
2018-01-12,-7,760,ัย 2์/๑,-15,764,ัย 2์/๑
2018-01-13,-15,766,ั 1์/๑,-19,766,ั 1์/๑
