2015-01-25,-15,772,Þ 2ì/ñ,-17,771,Þ 2ì/ñ
2015-01-26,-18,767,Â 2ì/ñ,-21,766,Â 2ì/ñ
2015-01-27,-17,763,Â 3ì/ñ,-19,762,Â 3ì/ñ
2015-01-28,-17,757,Â 2ì/ñ,-17,757,Â 2ì/ñ
2015-01-29,-17,754,ÞÂ 2ì/ñ,-18,754,ÞÂ 2ì/ñ
2015-01-30,-16,754,ÞÂ 2ì/ñ,-16,754,ÞÂ 2ì/ñ
2015-01-31,-9,756,ÞÂ 2ì/ñ,-10,756,ÞÂ 2ì/ñ
