2016-09-4,+22,746,ัว 2์/๑,+14,747,ัว 2์/๑
2016-09-5,+20,749,ว 2์/๑,+21,747,ว 2์/๑
2016-09-6,+20,748,ว 2์/๑,+16,749,ว 2์/๑
2016-09-7,+17,746,ว 3์/๑,+12,745,ว 3์/๑
2016-09-8,+14,739,ว 2์/๑,+13,737,ว 2์/๑
2016-09-9,+14,741,ัว 3์/๑,+12,744,ัว 3์/๑
2016-09-10,+14,747,ว 2์/๑,+12,748,ว 2์/๑
